"","name","city","coffee.rating","study.rating","notes","drink.reccomendation"
"1","matcha magic","bellevue","9","8","free two hour validated parking, good matcha","purple haze (lavender matcha)"
"2","semicolon cafe","bellevue","5","6","pretty cafe, mid everything",""
"3","dilettante mocha cafe (bellefield)","bellevue","9","10","live laugh love this location their mochas are so slay","Dilettante Mocha (52% chocolate)"
"4","cafe aloe","bellevue","8","9","","try their seasonal menu + HK milk tea smacks"
"5","caffe adagio","bellingham","","","",""
"6","mercury coffee co","bothell","7","","drive thru","the bees knees w/ oatmilk"
"7","social grounds coffee","bothell","6","8","ehh drinks and food but super convenient study location for UWB kids",""
"8","alexa's cafe","bothell","3","1","great for brunch with the girlie pops but the study at?? naw the old ppl gonna get you",""
"9","let them eat cake","davis, CA","","","",""
"10","peets coffee","davis, CA","","","",""
"11","our place dessert cafe","edmonds","5","6","overpriced, v nice cafe, not good to study on weekends",""
"12","jaiiya cafe","edmonds","7","7","",""
"13","red twig","edmonds","8","7","lacking in outlets but great outdoor seating for nice days also the food smacks","lavener white mocha iced"
"14","provisions market hall","eugene, OR","","","",""
"15","the muse","everett","6","3","for the vibes and views not the study",""
"16","cafe makario","everett","9","8","lots of seating for everett but lack of outlets","dutch luau or any of their dutch coffee series tbh"
"17","nadine's coffee house","everett","5","8","super nice space v hipster but frfr weak hipster coffee",""
"18","cracken coffee","everett","8","9","great space to study at and has lots of parking. lots of students due to being next to a high school","dalgona latte"
"19","diedrich espresso","everett","","","",""
"20","choux choux bakery","everett","8","6","great space for coffee and pastries but only like 2 seating options","earl grey latte and a pastry of any kind"
"21","11-Jul","everett","","","",""
"22","box cafe","everett","","","drive thru",""
"23","the milk house","everett","","","",""
"24","reddoor ","everett","","","",""
"25","artisan books and coffee","everett","5","8","coffee mid good space to study at however",""
"26","203F","kirkland","8","7","can get super busy and have hard time finding seating but overall really nice","lavender latte w oatmilk"
"27","the art of coffee","kirkland ","7","8","free wifi, decent parking (1hr parking spots but plenty of street parking)",""
"28","the commons cafe and books","langley","","","",""
"29","he brews coffee","lynnwood","4","7","has a two hr time limit, super expensive, apparently someone found a bug in their drink here???",""
"30","tiru coffee","lynnwood","9","7","idk if there's wifi but really good ethiopian coffee",""
"31","kaffeehaus de chatillon","lynnwood","","","",""
"32","cafe tokki","lynnwood","5","8","open super late (12am) but lacks outlets",""
"33","jamba juice","lynnwood","","","",""
"34","ding tea","lynnwood","","","",""
"35","lumi","lynnwood","6","10","love this space to study at the coffee is mid but so worth studying here",""
"36","85","lynnwood","","","",""
"37","buffalo espresso","mill creek","2","","drive thru",""
"38","bequest","mill creek","6","7","drinks mid and smaller store",""
"39","mixed ","mill creek","9","8","",""
"40","visible coffee roasters","mill creek","6","8","coffee is mid but great place to study at",""
"41","urban city coffee","mountlake terrace","8","9","open late (8pm) and has cute latte art",""
"42","red cup","mukilteo","7","9","super cute and fave place to chill. great food and views","drinks are ight but the FOOD is so smackers"
"43","grounds","mukilteo","9","","drive thru","lavender cold brew with honey cold foam"
"44","ladro coffee","MULTIPLE LOCATIONS; kirkland + bothell","4","7","",""
"45","eastern cafe","seattle","6","9","",""
"46","little oddfellows cafe","seattle (capitol hill)","7","8","located inside the elliot bay book company",""
"47","wunderground","seattle (capitol hill)","","","",""
"48","hello em","seattle (chinatown)","5","5","aesthetic cafe ",""
"49","phin vietnamese coffee","seattle (chinatown)","6","3","aesthetic cafe ",""
"50","hood famous cafe","seattle (chinatown)","8","9","great seating and studying","iced pandan latte"
"51","aroom coffee","seattle (fremont)","10","8","super trendy super busy! ","sesame latte"
"52","fremont brewery","seattle (fremont)","0","0","no. ",""
"53","retreat","seattle (greenlake)","6","7","hipster",""
"54","coffeeholic","seattle (greenwood)","7","7","decent amount of seating not a lot of outlets will activate lactose intolerance",""
"55","storyville coffee","seattle (pike place)","3","2","lol just a tourist trap but you get a free mug so its slay",""
"56","one bite cafe","seattle (roosevelt)","5","8","hella expensive but v nice booths to hang out at ","dalgona latte with 2 extra shots of espresso"
"57","oh bear teahouse","seattle (u district)","2","2","nasty ngl v sad bc its a bear themed cafe",""
"58","ugly mug cafe","seattle (u district)","7","6","super small; super busy if you get a seat great if you dont gl. PRICEY",""
"59","bulldog cafe","seattle (u district)","7","6","",""
"60","siphouse","seattle (u district)","10","9","my faves frfr -uyen","cà phê sữa đá "
"61","tea republic","seattle (u district)","8","9","love this place to study at its so cute and quaint","lavender earl grey creme"
"62","kitanda u district","seattle (u district)","","","",""
"63","leon coffee house","seattle (u district)","7","8","their hot drinks are really good with super cute latte art","white chocolate lavender latte (hot)"
"64","boon boona coffee","seattle (u district)","4","7","literally at the uw bookstore, it was okay",""
"65","off the rez cafe","seattle (u district)","4","5","nothing memorable abt coffee, kinda out of the way bc its at burke museum ","food is great"
"66","cafe solstice","seattle (u district)","1","7","good seating, shit coffee",""
"67","cafe on the ave","seattle (u district)","5","7","great food, lots of seating, super mid coffee",""
"68","mr west","seattle (u village)","","","",""
"69","cafe canuc","u district, seattle","7","4","time limit, super small drinks bc korean style, expensive, great for the gram tho","crunchy oat latte"
"70","hem 377","vancouver canada","7.5","4","great coffee, and good for photos, not for studying ",""
"71","breaking bean ","vancouver canada (coal harbor)","5","7","wifi is avaliable but limited seating ","food is a must"
"72","nemesis coffee","vancouver canada (gastown)","4","7","no wifi, great food, ample amount of seating ",""
"73","cafe luna","vashon island","7","","",""
"74","shoal point coffeehouse","victoria, BC","","","",""
"75","blenz coffee","whistler, BC","","","",""
"76","bobae","woodinville","8","5","boba and coffee spot, however very limited seating and idk about wifi","nitro bae milk tea (earl grey) or nitro thai milk tea w a shot of espresso  "
"77","sidekick coffee","woodinville","7","6","busy and full of yummy mummies and start up wfh baddies",""
